lexeme_id,concept_id,sense_id,variant_group_id,surface_form,canonical_concept,swahili_gloss,english_gloss,category,region,register,source_name,source_type,permission_basis,training_use_allowed,commercial_use_allowed,review_status,confidence,notes
L00162,C0092,S00162,V0071,Mungu,God,Mungu,God,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Candidate forms; 'Jah' is informal/borrowed and requires community/theological review.
L00163,C0092,S00163,V0071,God,God,Mungu,God,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Candidate forms; 'Jah' is informal/borrowed and requires community/theological review.
L00164,C0092,S00164,V0071,Mola,God,Mungu,God,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Candidate forms; 'Jah' is informal/borrowed and requires community/theological review.
L00165,C0092,S00165,V0071,Jah,God,Mungu,God,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Candidate forms; 'Jah' is informal/borrowed and requires community/theological review.
L00166,C0093,S00166,V0072,amen,Amen,Amina,amen,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Liturgical form; verify preferred Sheng usage.
L00167,C0093,S00167,V0072,amina,Amen,Amina,amen,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Liturgical form; verify preferred Sheng usage.
L00168,C0094,S00168,V0073,umba,create,umba,create,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Verb; retain both Swahili and English code-switch candidates.
L00169,C0094,S00169,V0073,create,create,umba,create,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Verb; retain both Swahili and English code-switch candidates.
L00170,C0095,S00170,V0074,uumbaji,creation,uumbaji,creation,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Concept noun; theological review required.
L00171,C0095,S00171,V0074,creation,creation,uumbaji,creation,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Concept noun; theological review required.
L00172,C0096,S00172,V0075,Muumba,creator,Muumba,creator,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Divine-title usage requires theological review.
L00173,C0096,S00173,V0075,Creator,creator,Muumba,creator,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Divine-title usage requires theological review.
L00174,C0097,S00174,V0076,omba,pray,omba,pray,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Verb.
L00175,C0097,S00175,V0076,pray,pray,omba,pray,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Verb.
L00176,C0098,S00176,V0077,sala,prayer,sala/maombi,prayer,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Multiple common forms; context distinguishes prayer act/content.
L00177,C0098,S00177,V0077,maombi,prayer,sala/maombi,prayer,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Multiple common forms; context distinguishes prayer act/content.
L00178,C0098,S00178,V0077,prayer,prayer,sala/maombi,prayer,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Multiple common forms; context distinguishes prayer act/content.
L00179,C0099,S00179,V0078,imani,faith,imani,faith,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00180,C0099,S00180,V0078,faith,faith,imani,faith,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00181,C0100,S00181,V0079,amini,believe,amini,believe,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00182,C0100,S00182,V0079,believe,believe,amini,believe,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00183,C0101,S00183,V0080,neema,grace,neema,grace,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00184,C0101,S00184,V0080,grace,grace,neema,grace,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00185,C0102,S00185,V0081,rehema,mercy,rehema,mercy,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00186,C0102,S00186,V0081,mercy,mercy,rehema,mercy,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00187,C0103,S00187,V0082,dhambi,sin,dhambi,sin,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00188,C0103,S00188,V0082,sin,sin,dhambi,sin,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00189,C0104,S00189,V0083,mwenye dhambi,sinner,mwenye dhambi,sinner,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00190,C0104,S00190,V0083,sinner,sinner,mwenye dhambi,sinner,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00191,C0105,S00191,V0084,samehe,forgive,samehe,forgive,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
