lexeme_id,concept_id,sense_id,variant_group_id,surface_form,canonical_concept,swahili_gloss,english_gloss,category,region,register,source_name,source_type,permission_basis,training_use_allowed,commercial_use_allowed,review_status,confidence,notes
L00001,C0001,S00001,V0001,niaje,casual greeting,habari,what's up,greeting,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00002,C0001,S00002,V0001,sasa,casual greeting,habari,hey / what's up,greeting,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00003,C0002,S00003,V0002,poa,good/fine,vizuri,cool / fine,quality,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00004,C0003,S00004,V0002,fiti,good/attractive,nzuri,good / attractive,quality,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00005,C0004,S00005,V0002,safi,good/cool,nzuri,cool / good,quality,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00006,C0005,S00006,V0002,freshi,fine/good,salama,fine / good,quality,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00007,C0006,S00007,V0003,maze,discourse emphasis,kweli,man / really,conversation,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00008,C0007,S00008,V0004,form,plan,mpango,plan / what's happening,conversation,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00009,C0008,S00009,V0005,rada,plan/situation,mpango/hali,plan / situation,conversation,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00010,C0009,S00010,V0005,rada,awareness/alertness,tahadhari/ufahamu,awareness / alertness,conversation,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
