row_id,lexeme_id,concept_id,sense_id,variant_group_id,surface_form,canonical_concept,swahili_gloss,english_gloss,category,sheng_text,swahili_text,english_text,code_switch_level,review_class,source_name,source_type,generation_method,permission_basis,training_use_allowed,commercial_use_allowed,review_status,confidence
T000162,L00162,C0092,S00162,V0071,Mungu,God,Mungu,God,religion,maze Amani alisema 'Mungu' kwa convo ya faith leo pale tao.,Amani alitumia 'Mungu' kumaanisha Mungu katika mazungumzo ya imani leo pale mjini.,Amani used 'Mungu' to mean God in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000163,L00163,C0092,S00163,V0071,God,God,Mungu,God,religion,maze Amani alisema 'God' kwa convo ya faith leo pale tao.,Amani alitumia 'God' kumaanisha Mungu katika mazungumzo ya imani leo pale mjini.,Amani used 'God' to mean God in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000164,L00164,C0092,S00164,V0071,Mola,God,Mungu,God,religion,maze Amani alisema 'Mola' kwa convo ya faith leo pale tao.,Amani alitumia 'Mola' kumaanisha Mungu katika mazungumzo ya imani leo pale mjini.,Amani used 'Mola' to mean God in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000165,L00165,C0092,S00165,V0071,Jah,God,Mungu,God,religion,maze Amani alisema 'Jah' kwa convo ya faith leo pale tao.,Amani alitumia 'Jah' kumaanisha Mungu katika mazungumzo ya imani leo pale mjini.,Amani used 'Jah' to mean God in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000166,L00166,C0093,S00166,V0072,amen,Amen,Amina,amen,religion,maze Amani alisema 'amen' kwa convo ya faith leo pale tao.,Amani alitumia 'amen' kumaanisha Amina katika mazungumzo ya imani leo pale mjini.,Amani used 'amen' to mean amen in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000167,L00167,C0093,S00167,V0072,amina,Amen,Amina,amen,religion,maze Amani alisema 'amina' kwa convo ya faith leo pale tao.,Amani alitumia 'amina' kumaanisha Amina katika mazungumzo ya imani leo pale mjini.,Amani used 'amina' to mean amen in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000168,L00168,C0094,S00168,V0073,umba,create,umba,create,religion,maze Amani alisema 'umba' kwa convo ya faith leo pale tao.,Amani alitumia 'umba' kumaanisha umba katika mazungumzo ya imani leo pale mjini.,Amani used 'umba' to mean create in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000169,L00169,C0094,S00169,V0073,create,create,umba,create,religion,maze Amani alisema 'create' kwa convo ya faith leo pale tao.,Amani alitumia 'create' kumaanisha umba katika mazungumzo ya imani leo pale mjini.,Amani used 'create' to mean create in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000170,L00170,C0095,S00170,V0074,uumbaji,creation,uumbaji,creation,religion,maze Amani alisema 'uumbaji' kwa convo ya faith leo pale tao.,Amani alitumia 'uumbaji' kumaanisha uumbaji katika mazungumzo ya imani leo pale mjini.,Amani used 'uumbaji' to mean creation in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000171,L00171,C0095,S00171,V0074,creation,creation,uumbaji,creation,religion,maze Amani alisema 'creation' kwa convo ya faith leo pale tao.,Amani alitumia 'creation' kumaanisha uumbaji katika mazungumzo ya imani leo pale mjini.,Amani used 'creation' to mean creation in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000172,L00172,C0096,S00172,V0075,Muumba,creator,Muumba,creator,religion,maze Amani alisema 'Muumba' kwa convo ya faith leo pale tao.,Amani alitumia 'Muumba' kumaanisha Muumba katika mazungumzo ya imani leo pale mjini.,Amani used 'Muumba' to mean creator in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000173,L00173,C0096,S00173,V0075,Creator,creator,Muumba,creator,religion,maze Amani alisema 'Creator' kwa convo ya faith leo pale tao.,Amani alitumia 'Creator' kumaanisha Muumba katika mazungumzo ya imani leo pale mjini.,Amani used 'Creator' to mean creator in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000174,L00174,C0097,S00174,V0076,omba,pray,omba,pray,religion,maze Amani alisema 'omba' kwa convo ya faith leo pale tao.,Amani alitumia 'omba' kumaanisha omba katika mazungumzo ya imani leo pale mjini.,Amani used 'omba' to mean pray in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000175,L00175,C0097,S00175,V0076,pray,pray,omba,pray,religion,maze Amani alisema 'pray' kwa convo ya faith leo pale tao.,Amani alitumia 'pray' kumaanisha omba katika mazungumzo ya imani leo pale mjini.,Amani used 'pray' to mean pray in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000176,L00176,C0098,S00176,V0077,sala,prayer,sala/maombi,prayer,religion,maze Amani alisema 'sala' kwa convo ya faith leo pale tao.,Amani alitumia 'sala' kumaanisha sala katika mazungumzo ya imani leo pale mjini.,Amani used 'sala' to mean prayer in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
