row_id,lexeme_id,concept_id,sense_id,variant_group_id,surface_form,canonical_concept,swahili_gloss,english_gloss,category,sheng_text,swahili_text,english_text,code_switch_level,review_class,source_name,source_type,generation_method,permission_basis,training_use_allowed,commercial_use_allowed,review_status,confidence,native_rating_1_to_5,theology_rating_1_to_5,native_correction_sheng,native_correction_swahili,native_correction_english,reviewer_notes,approved
T011473,L00303,C0159,S00303,V0138,ponya,heal,ponya,heal,religion,maze Kendi alisema 'ponya' kwa convo ya faith leo pale mtaa.,Kendi alitumia 'ponya' kumaanisha ponya katika mazungumzo ya imani leo pale mtaani.,Kendi used 'ponya' to mean heal in a faith conversation today at the neighborhood.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T055771,L00043,C0023,S00043,V0015,morio,guy/friend,jamaa/rafiki,guy / friend,people,maze Tina ametumia 'morio' kwa story ya CBD leo.,Tina ametumia 'morio' kumaanisha jamaa katika mazungumzo ya CBD leo.,Tina used 'morio' to mean guy  in a conversation at the CBD today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T022394,L00004,C0003,S00004,V0002,fiti,good/attractive,nzuri,good / attractive,quality,maze Faith ametumia 'fiti' kwa story ya campo leo.,Faith ametumia 'fiti' kumaanisha nzuri katika mazungumzo ya chuoni leo.,Faith used 'fiti' to mean good  in a conversation at campus today.,high,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T054366,L00356,C0185,S00356,V0164,creation story,creation story,hadithi ya uumbaji,creation story,religion,maze Kendi alisema 'creation story' kwa convo ya faith leo pale CBD.,Kendi alitumia 'creation story' kumaanisha hadithi ya uumbaji katika mazungumzo ya imani leo pale CBD.,Kendi used 'creation story' to mean creation story in a faith conversation today at the CBD.,medium,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T055097,L00067,C0039,S00067,V0027,mbao,twenty shillings,shilingi ishirini,20 Kenyan shillings,money,maze Pato ametumia 'mbao' kwa story ya CBD leo.,Pato ametumia 'mbao' kumaanisha shilingi ishirini katika mazungumzo ya CBD leo.,Pato used 'mbao' to mean 20 Kenyan shillings in a conversation at the CBD today.,high,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T076191,L00063,C0037,S00063,V0025,mkwanja,money,pesa,money / cash,money,maze James ametumia 'mkwanja' kwa story ya Embakasi leo.,James ametumia 'mkwanja' kumaanisha pesa katika mazungumzo ya Embakasi leo.,James used 'mkwanja' to mean money  in a conversation at Embakasi today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T073752,L00362,C0188,S00362,V0167,Psalms,Psalms,Zaburi,Psalms,religion,maze Pato alisema 'Psalms' kwa convo ya faith leo pale Embakasi.,Pato alitumia 'Psalms' kumaanisha Zaburi katika mazungumzo ya imani leo pale Embakasi.,Pato used 'Psalms' to mean Psalms in a faith conversation today at Embakasi.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T027208,L00040,C0020,S00040,V0013,buda,bro/dude,rafiki/jamaa,bro / dude,people,maze James ametumia 'buda' kwa story ya campo leo.,James ametumia 'buda' kumaanisha rafiki katika mazungumzo ya chuoni leo.,James used 'buda' to mean bro  in a conversation at campus today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T069313,L00003,C0002,S00003,V0002,poa,good/fine,vizuri,cool / fine,quality,maze Esther ametumia 'poa' kwa story ya Kasarani leo.,Esther ametumia 'poa' kumaanisha vizuri katika mazungumzo ya Kasarani leo.,Esther used 'poa' to mean cool  in a conversation at Kasarani today.,light,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T041066,L00316,C0165,S00316,V0144,joy,joy,furaha,joy,religion,maze Faith alisema 'joy' kwa convo ya faith leo pale base.,Faith alitumia 'joy' kumaanisha furaha katika mazungumzo ya imani leo pale mahali.,Faith used 'joy' to mean joy in a faith conversation today at the spot.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
