record_id,sheng,swahili,english,meaning,example_sheng,example_swahili,example_english,category,region,source_name,source_type,permission_basis,training_use_allowed,commercial_use_allowed,review_status
9,form,mpango,plan,what is planned or happening,Form ni gani?,Mpango ni upi?,What's the plan?,conversation,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
8,maze,kweli/man,man/really,discourse marker used for emphasis,Maze hiyo ilikuwa poa,Kweli hiyo ilikuwa nzuri,Man that was cool,conversation,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
5,rada,hali/mpango,situation/plan,context-sensitive word for what is happening or the plan,Rada ya leo ni gani?,Mpango wa leo ni upi?,What's the plan today?,conversation,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
17,fathe,baba,father/dad,informal term for father,Fathe ameenda kazi,Baba ameenda kazini,Dad has gone to work,family,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
16,mathe,mama,mother/mum,informal term for mother,Mathe yuko keja,Mama yuko nyumbani,Mum is at home,family,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
1,niaje,habari,what's up,casual greeting,Niaje buda?,Habari rafiki?,What's up bro?,greeting,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
6,poa,nzuri/fine,cool/fine,positive response or approval,Niko poa,Niko vizuri,I'm fine,greeting,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
7,sasa,habari/hey,hey,very common casual greeting,Sasa buda?,Habari rafiki?,Hey bro?,greeting,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
18,chapaa,pesa,money,informal term for money,Natafuta chapaa,Natafuta pesa,I'm looking for money,money,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
13,doh,pesa,money,informal term for money,Sina doh leo,Sina pesa leo,I don't have money today,money,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
14,mbao,shilingi ishirini,twenty shillings,slang amount term; usage should be native-reviewed,Nipe mbao,Nipe shilingi ishirini,Give me twenty shillings,money,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
2,buda,rafiki,bro/friend,casual form of address,Niaje buda?,Habari rafiki?,What's up bro?,people,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
10,dem,msichana,girl,informal term for a girl or young woman,Yule dem ni rafiki yangu,Yule msichana ni rafiki yangu,That girl is my friend,people,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
12,morio,rafiki/guy,guy/friend,informal term for a male friend,Huyo morio namjua,Namjua huyo mtu,I know that guy,people,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
3,msee,mtu,person/guy,informal reference to a person,Huyo msee ni nani?,Huyo mtu ni nani?,Who is that guy?,people,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
19,base,mahali/place,place/spot,meeting place or hangout spot,Tukutane base,Tukutane mahali pale,Let's meet at the spot,places,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
15,keja,nyumba,house/home,informal term for home or house,Niko keja,Niko nyumbani,I'm at home,places,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
11,manzi,msichana/girlfriend,girl/girlfriend,context-sensitive term for a girl or girlfriend,Manzi yangu amefika,Mpenzi wangu amefika,My girlfriend has arrived,relationships,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
4,mbogi,kundi,crew/group,group of friends or associates,Niko na mbogi yangu,Niko na kundi langu,I'm with my crew,social,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
20,job,kazi,work/job,English loan used in code-switching,Niko job,Niko kazini,I'm at work,work,Kenya,Project manual seed,human_annotation,original_project_annotation,yes,yes,needs_native_review
